Handle,Variant Price
duffy-dyer-136,999999
duffy-dyer-136,
john-bateman-31,9999999
vicente-romo,9999999
vicente-romo,
gary-smith-176,99999
gary-smith-176,
1967-68-topps-128-bobby-orr-as,1200
1967-68-topps-128-bobby-orr-as,
1971-partridge-family-series-a-32a-keith-makes-a-point,6
1971-partridge-family-series-a-40a-heading-out-on-tour,6
1971-partridge-family-series-a-8a-david-does-a-solo,6
1971-partridge-family-series-a-36a-singing-up-a-storm,6
1971-partridge-family-series-a-42a-the-lead-singer,6
1971-partridge-family-series-a-38a-close-friends,6
1971-partridge-family-series-a-44a-unwanted-visitor,6
1971-partridge-family-series-a-2a-partridge-pow-wow,6
1971-partridge-family-series-a-48a-arriving-for-show,6
1971-partridge-family-series-a-4a-belting-out-a-song,6
1971-partridge-family-series-a-30a-david-on-stage,6
1971-partridge-family-series-a-10a-arriving-in-vegas,6
1971-partridge-family-series-a-9a-electrifying-performance,6
1971-partridge-family-series-a-16a-happy-times,6
1971-partridge-family-series-a-18a-david-comes-clean,6
1971-partridge-family-series-a-14a-standing-in-the-wings,6
1971-partridge-family-series-a-39a-a-swinging-singer,6
1971-partridge-family-series-a-5a-introducing-his-latest-hit,6
1971-partridge-family-series-a-15a-everybody-smiles,6
1971-partridge-family-series-a-31a-performing-for-their-fans,6
1971-partridge-family-series-a-28a-showing-up-on-schedule,6
1971-partridge-family-series-a-50a-leaving-town-today,6
1971-partridge-family-series-a-35a-turned-on-performance,6
1971-partridge-family-series-a-47a-what-a-groovy-guy,6
1971-partridge-family-series-a-23a-pretty-clever-kid,6
1971-partridge-family-series-a-33a-spotlight-on-danny,6
1971-partridge-family-series-a-26a-the-family-pet,6
1971-partridge-family-series-a-52a-reaching-their-destination,6
1971-partridge-family-series-a-21a-trying-out-a-brand-new-tune,6
1971-partridge-family-series-a-22a-just-david,6
1971-partridge-family-series-a-19a-red-hot-performers,6
1971-partridge-family-series-a-25a-all-american-boy,6
1971-partridge-family-series-a-24a-learning-their-lines,6
1971-partridge-family-series-a-46a-crowded-quarters,6
1971-partridge-family-series-a-27a-all-aboard,6
1971-partridge-family-series-a-54a-laurie-and-the-younger-set,6
1971-partridge-family-series-a-3a-beating-the-skins,6
1971-partridge-family-series-a-43a-family-discussion,6
1971-partridge-family-series-a-49a-lauries-got-a-date-tonight,6
1971-partridge-family-series-a-51a-freckled-face-favorite,6
1971-partridge-family-series-a-11a-5-minutes-to-showtime,6
1971-partridge-family-series-a-41a-picking-up-the-beat,6
1971-partridge-family-series-a-53a-keith-laurie-and-danny,6
1971-partridge-family-series-a-37a-time-to-rehearse,6
1971-partridge-family-series-a-29a-just-before-showtime,6
1971-partridge-family-series-a-6a-shirley-at-the-wheel,6
1971-partridge-family-series-a-7a-making-sweet-music,6
1971-partridge-family-series-a-12a-david-spruces-up,6
1971-72-o-pee-chee-247-phil-esposito-ross,30
1971-72-o-pee-chee-247-phil-esposito-ross,
1971-72-o-pee-chee-249-johnny-bucyk-byng,18
1971-72-o-pee-chee-249-johnny-bucyk-byng,
1971-72-o-pee-chee-248-ed-giacomin-gilles-villemure-vezina-trophy,18
1971-72-o-pee-chee-248-ed-giacomin-gilles-villemure-vezina-trophy,
1971-72-o-pee-chee-246-gilbert-perreault-calder,45
1971-72-o-pee-chee-246-gilbert-perreault-calder,
1972-73-o-pee-chee-156-stan-mikita-ia,15
1972-73-o-pee-chee-156-stan-mikita-ia,
1972-73-o-pee-chee-169-ken-hodge,9
1972-73-o-pee-chee-169-ken-hodge,
1972-73-o-pee-chee-135-dallas-smith-ia,9
1972-73-o-pee-chee-135-dallas-smith-ia,
1972-73-o-pee-chee-196-tony-esposito-ia,24
